,exchange,datetime,orderbook
0,bitfinex,2023-04-22T01:38:22.462Z,"{'ask_size': [1000.0, 1304.0, 4562.99723522, 392.4112036, 3866.99571349, 3827.13372059, 8045.44235373, 7764.71709052, 3910.0, 9705.89033153, 11657.9300159, 5957.33893928, 1295.30876587, 13530.62679533, 600.0, 10452.35164068, 2737.4277, 6513.1, 15536.93830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463, 13017.2, 20767.41794659], 'ask': [0.38341, 0.38347, 0.38352, 0.38356, 0.38357, 0.38358, 0.3836, 0.38365, 0.38366, 0.3837, 0.38375, 0.38377, 0.38378, 0.38379, 0.38381, 0.38383, 0.38386, 0.38388, 0.38389, 0.38401, 0.38402, 0.38404, 0.3841, 0.38415, 0.38421], 'bid': [0.38327, 0.38326, 0.38325, 0.38324, 0.38319, 0.38318, 0.38316, 0.38315, 0.38314, 0.38311, 0.38306, 0.38305, 0.38303, 0.38299, 0.38297, 0.38295, 0.38294, 0.38292, 0.38285, 0.38284, 0.38283, 0.38282, 0.38275, 0.38272, 0.3827], 'bid_size': [2304.6, 1596.0, 1000.0, 1958.78899816, 4909.9727978, 2609.9, 5813.69585748, 3915.2, 1312.91693055, 7829.18990743, 9796.92537432, 6612.0, 1314.20983337, 2862.75202909, 11627.55424301, 16469.0, 13683.85338673, 2613.0, 9300.4187, 9803.0, 1330.39275485, 15639.89119121, 13747.51088557, 13065.3, 16469.0], 'spread': [0.00014, 0.00021, 0.00027, 0.00032, 0.00038, 0.0004, 0.00044, 0.0005, 0.00052, 0.00059, 0.00069, 0.00072, 0.00075, 0.0008, 0.00084, 0.00088, 0.00092, 0.00096, 0.00104, 0.00117, 0.00119, 0.00122, 0.00135, 0.00143, 0.00151], 'closing_price': 0.14233, 'mid_price': 0.38334, 'vwap': 0.383418, 'levels': 25}"
1,bitfinex,2023-04-22T01:38:24.105Z,"{'ask_size': [1000.0, 1304.0, 4562.99723522, 392.4112036, 3866.99571349, 3827.13372059, 8045.44235373, 7764.71709052, 3910.0, 9705.89033153, 11657.9300159, 5957.33893928, 1295.30876587, 13530.62679533, 600.0, 10452.35164068, 2737.4277, 6513.1, 15536.93830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463, 13017.2, 20767.41794659], 'ask': [0.38341, 0.38347, 0.38352, 0.38356, 0.38357, 0.38358, 0.3836, 0.38365, 0.38366, 0.3837, 0.38375, 0.38377, 0.38378, 0.38379, 0.38381, 0.38383, 0.38386, 0.38388, 0.38389, 0.38401, 0.38402, 0.38404, 0.3841, 0.38415, 0.38421], 'bid': [0.38327, 0.38326, 0.38325, 0.38324, 0.38319, 0.38318, 0.38316, 0.38315, 0.38314, 0.38311, 0.38306, 0.38305, 0.38303, 0.38299, 0.38297, 0.38295, 0.38294, 0.38292, 0.38285, 0.38284, 0.38283, 0.38282, 0.38275, 0.38272, 0.3827], 'bid_size': [2304.6, 1596.0, 1000.0, 1958.78899816, 4909.9727978, 2609.9, 5813.69585748, 3915.2, 1312.91693055, 7829.18990743, 9796.92537432, 6612.0, 1314.20983337, 2862.75202909, 11627.55424301, 16469.0, 13683.85338673, 2613.0, 9300.4187, 9803.0, 1330.39275485, 15639.89119121, 13747.51088557, 13065.3, 16469.0], 'spread': [0.00014, 0.00021, 0.00027, 0.00032, 0.00038, 0.0004, 0.00044, 0.0005, 0.00052, 0.00059, 0.00069, 0.00072, 0.00075, 0.0008, 0.00084, 0.00088, 0.00092, 0.00096, 0.00104, 0.00117, 0.00119, 0.00122, 0.00135, 0.00143, 0.00151], 'closing_price': 0.14233, 'mid_price': 0.38334, 'vwap': 0.383418, 'levels': 25}"
2,bitfinex,2023-04-22T01:38:25.829Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 3827.13372059, 5824.2066672, 2221.23568653, 4427.10282797, 3910.0, 7764.71709052, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 600.0, 16063.44154272, 2737.4277, 6513.1, 15536.93830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.38359, 0.3836, 0.38365, 0.38366, 0.38367, 0.38372, 0.38377, 0.38378, 0.3838, 0.38381, 0.38382, 0.38386, 0.38388, 0.38392, 0.38401, 0.38402, 0.38408, 0.3841], 'bid': [0.38331, 0.3833, 0.38327, 0.38326, 0.38322, 0.38319, 0.38318, 0.38315, 0.38314, 0.38312, 0.38309, 0.38307, 0.38305, 0.38303, 0.383, 0.38299, 0.38295, 0.38292, 0.38285, 0.38284, 0.38283, 0.38278, 0.38275, 0.38272, 0.3827], 'bid_size': [1000.0, 1304.5, 2958.78899816, 2596.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 9796.92537432, 600.0, 11627.55424301, 6612.0, 1314.20983337, 15573.60237283, 2262.75202909, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485, 13840.83339957, 19741.8813344, 13065.3, 16469.0], 'spread': [0.00016, 0.00019, 0.00023, 0.00026, 0.00033, 0.00037, 0.0004, 0.00044, 0.00046, 0.00053, 0.00057, 0.0006, 0.00067, 0.00074, 0.00078, 0.00081, 0.00086, 0.0009, 0.00101, 0.00104, 0.00109, 0.00123, 0.00127, 0.00136, 0.0014], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383331, 'levels': 25}"
3,bitfinex,2023-04-22T01:38:27.341Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 3827.13372059, 5824.2066672, 2221.23568653, 4427.10282797, 3910.0, 7764.71709052, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 600.0, 16063.44154272, 2737.4277, 6513.1, 15536.93830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.38359, 0.3836, 0.38365, 0.38366, 0.38367, 0.38372, 0.38377, 0.38378, 0.3838, 0.38381, 0.38382, 0.38386, 0.38388, 0.38392, 0.38401, 0.38402, 0.38408, 0.3841], 'bid': [0.38331, 0.3833, 0.38327, 0.38326, 0.38322, 0.38319, 0.38318, 0.38315, 0.38314, 0.38312, 0.38309, 0.38307, 0.38305, 0.38303, 0.383, 0.38299, 0.38295, 0.38292, 0.38285, 0.38284, 0.38283, 0.38278, 0.38275, 0.38272, 0.3827], 'bid_size': [1000.0, 1304.5, 2958.78899816, 2596.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 9796.92537432, 600.0, 11627.55424301, 6612.0, 1314.20983337, 15573.60237283, 2262.75202909, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485, 13840.83339957, 19741.8813344, 13065.3, 16469.0], 'spread': [0.00016, 0.00019, 0.00023, 0.00026, 0.00033, 0.00037, 0.0004, 0.00044, 0.00046, 0.00053, 0.00057, 0.0006, 0.00067, 0.00074, 0.00078, 0.00081, 0.00086, 0.0009, 0.00101, 0.00104, 0.00109, 0.00123, 0.00127, 0.00136, 0.0014], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383331, 'levels': 25}"
4,bitfinex,2023-04-22T01:38:28.882Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 3827.13372059, 5824.2066672, 2221.23568653, 4427.10282797, 3910.0, 7764.71709052, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 600.0, 16063.44154272, 2737.4277, 6513.1, 15536.93830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.38359, 0.3836, 0.38365, 0.38366, 0.38367, 0.38372, 0.38377, 0.38378, 0.3838, 0.38381, 0.38382, 0.38386, 0.38388, 0.38392, 0.38401, 0.38402, 0.38408, 0.3841], 'bid': [0.38331, 0.3833, 0.38327, 0.38326, 0.38322, 0.38319, 0.38318, 0.38315, 0.38314, 0.38312, 0.38309, 0.38307, 0.38305, 0.38303, 0.383, 0.38299, 0.38295, 0.38292, 0.38285, 0.38284, 0.38283, 0.38278, 0.38275, 0.38272, 0.3827], 'bid_size': [1000.0, 1304.5, 2958.78899816, 2596.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 9796.92537432, 600.0, 11627.55424301, 6612.0, 1314.20983337, 15573.60237283, 2262.75202909, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485, 13840.83339957, 19741.8813344, 13065.3, 16469.0], 'spread': [0.00016, 0.00019, 0.00023, 0.00026, 0.00033, 0.00037, 0.0004, 0.00044, 0.00046, 0.00053, 0.00057, 0.0006, 0.00067, 0.00074, 0.00078, 0.00081, 0.00086, 0.0009, 0.00101, 0.00104, 0.00109, 0.00123, 0.00127, 0.00136, 0.0014], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383331, 'levels': 25}"
5,bitfinex,2023-04-22T01:38:30.611Z,"{'ask_size': [1000.0, 1304.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 9651.34038779, 2221.23568653, 7764.71709052, 4427.95310735, 3910.0, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 6564.8840293, 10099.55045141, 2613.0, 2737.4277, 22050.03830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463, 13017.2], 'ask': [0.38346, 0.38347, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.3836, 0.38363, 0.38365, 0.38366, 0.38368, 0.38373, 0.38378, 0.3838, 0.38381, 0.38382, 0.38384, 0.38386, 0.38388, 0.38401, 0.38402, 0.38405, 0.3841, 0.38415], 'bid': [0.38331, 0.3833, 0.38329, 0.38327, 0.38326, 0.38324, 0.38323, 0.38319, 0.38318, 0.38315, 0.38314, 0.38309, 0.38305, 0.38304, 0.38303, 0.383, 0.38299, 0.38298, 0.38295, 0.3829, 0.38289, 0.38285, 0.38284, 0.38283, 0.38278], 'bid_size': [1000.0, 1304.5, 1000.0, 2958.78899816, 1596.0, 1000.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 10396.92537432, 6612.0, 11627.55424301, 1314.20983337, 1890.41964789, 2262.75202909, 13683.85338673, 16469.0, 2613.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485, 13840.83339957], 'spread': [0.00015, 0.00017, 0.00021, 0.00025, 0.00029, 0.00032, 0.00035, 0.00041, 0.00045, 0.0005, 0.00052, 0.00059, 0.00068, 0.00074, 0.00077, 0.00081, 0.00083, 0.00086, 0.00091, 0.00098, 0.00112, 0.00117, 0.00121, 0.00127, 0.00137], 'closing_price': 0.14233, 'mid_price': 0.383385, 'vwap': 0.383445, 'levels': 25}"
6,bitfinex,2023-04-22T01:38:32.195Z,"{'ask_size': [1000.0, 1304.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 9651.34038779, 2221.23568653, 7764.71709052, 4427.95310735, 3910.0, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 6564.8840293, 10099.55045141, 2613.0, 2737.4277, 22050.03830136, 2707.8732, 9951.36002939, 19489.65686841, 8359.19808463, 13017.2], 'ask': [0.38346, 0.38347, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.3836, 0.38363, 0.38365, 0.38366, 0.38368, 0.38373, 0.38378, 0.3838, 0.38381, 0.38382, 0.38384, 0.38386, 0.38388, 0.38401, 0.38402, 0.38405, 0.3841, 0.38415], 'bid': [0.38331, 0.3833, 0.38329, 0.38327, 0.38326, 0.38324, 0.38323, 0.38319, 0.38318, 0.38315, 0.38314, 0.38309, 0.38305, 0.38304, 0.38303, 0.383, 0.38299, 0.38298, 0.38295, 0.3829, 0.38289, 0.38285, 0.38284, 0.38283, 0.38278], 'bid_size': [1000.0, 1304.5, 1000.0, 2958.78899816, 1596.0, 1000.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 10396.92537432, 6612.0, 11627.55424301, 1314.20983337, 1890.41964789, 2262.75202909, 13683.85338673, 16469.0, 2613.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485, 13840.83339957], 'spread': [0.00015, 0.00017, 0.00021, 0.00025, 0.00029, 0.00032, 0.00035, 0.00041, 0.00045, 0.0005, 0.00052, 0.00059, 0.00068, 0.00074, 0.00077, 0.00081, 0.00083, 0.00086, 0.00091, 0.00098, 0.00112, 0.00117, 0.00121, 0.00127, 0.00137], 'closing_price': 0.14233, 'mid_price': 0.383385, 'vwap': 0.383445, 'levels': 25}"
7,bitfinex,2023-04-22T01:38:34.431Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 9651.34038779, 2221.23568653, 7764.71709052, 4428.15379222, 3910.0, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 6565.15212263, 10099.55045141, 2613.0, 2737.4277, 22050.03830136, 2707.8732, 16563.36002939, 19489.65686841, 8359.19808463, 13017.2], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.3836, 0.38364, 0.38365, 0.38366, 0.38368, 0.38373, 0.38378, 0.3838, 0.38381, 0.38382, 0.38385, 0.38386, 0.38388, 0.38401, 0.38402, 0.38405, 0.3841, 0.38415], 'bid': [0.38331, 0.3833, 0.38329, 0.38328, 0.38327, 0.38326, 0.38324, 0.38323, 0.38319, 0.38318, 0.38315, 0.38314, 0.38309, 0.38305, 0.38304, 0.38303, 0.383, 0.38299, 0.38298, 0.38296, 0.38295, 0.3829, 0.38285, 0.38284, 0.38283], 'bid_size': [1000.0, 1304.5, 1000.0, 1958.78899816, 1000.0, 1596.0, 1000.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 10396.92537432, 6612.0, 11627.55424301, 1314.20983337, 1890.39044428, 2262.75202909, 13683.85338673, 2613.0, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485], 'spread': [0.00016, 0.00019, 0.00021, 0.00024, 0.00028, 0.0003, 0.00034, 0.00037, 0.00045, 0.00047, 0.00051, 0.00054, 0.00064, 0.00073, 0.00076, 0.00078, 0.00082, 0.00086, 0.00088, 0.00092, 0.00106, 0.00112, 0.0012, 0.00126, 0.00132], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383487, 'levels': 25}"
8,bitfinex,2023-04-22T01:38:35.956Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 9651.34038779, 2221.23568653, 7764.71709052, 4428.15379222, 3910.0, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 6565.15212263, 10099.55045141, 2613.0, 2737.4277, 22050.03830136, 2707.8732, 16563.36002939, 19489.65686841, 8359.19808463, 13017.2], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.3836, 0.38364, 0.38365, 0.38366, 0.38368, 0.38373, 0.38378, 0.3838, 0.38381, 0.38382, 0.38385, 0.38386, 0.38388, 0.38401, 0.38402, 0.38405, 0.3841, 0.38415], 'bid': [0.38331, 0.3833, 0.38329, 0.38328, 0.38327, 0.38326, 0.38324, 0.38323, 0.38319, 0.38318, 0.38315, 0.38314, 0.38309, 0.38305, 0.38304, 0.38303, 0.383, 0.38299, 0.38298, 0.38296, 0.38295, 0.3829, 0.38285, 0.38284, 0.38283], 'bid_size': [1000.0, 1304.5, 1000.0, 1958.78899816, 1000.0, 1596.0, 1000.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 10396.92537432, 6612.0, 11627.55424301, 1314.20983337, 1890.39044428, 2262.75202909, 13683.85338673, 2613.0, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485], 'spread': [0.00016, 0.00019, 0.00021, 0.00024, 0.00028, 0.0003, 0.00034, 0.00037, 0.00045, 0.00047, 0.00051, 0.00054, 0.00064, 0.00073, 0.00076, 0.00078, 0.00082, 0.00086, 0.00088, 0.00092, 0.00106, 0.00112, 0.0012, 0.00126, 0.00132], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383487, 'levels': 25}"
9,bitfinex,2023-04-22T01:38:37.441Z,"{'ask_size': [1304.0, 1000.0, 1955.29723522, 2607.7, 3866.99571349, 392.4112036, 9651.34038779, 2221.23568653, 7764.71709052, 4428.15379222, 3910.0, 9705.89033153, 11657.9300159, 1295.30876587, 13530.62679533, 6565.15212263, 10099.55045141, 2613.0, 2737.4277, 22050.03830136, 2707.8732, 16563.36002939, 19489.65686841, 8359.19808463, 13017.2], 'ask': [0.38347, 0.38349, 0.3835, 0.38352, 0.38355, 0.38356, 0.38358, 0.3836, 0.38364, 0.38365, 0.38366, 0.38368, 0.38373, 0.38378, 0.3838, 0.38381, 0.38382, 0.38385, 0.38386, 0.38388, 0.38401, 0.38402, 0.38405, 0.3841, 0.38415], 'bid': [0.38331, 0.3833, 0.38329, 0.38328, 0.38327, 0.38326, 0.38324, 0.38323, 0.38319, 0.38318, 0.38315, 0.38314, 0.38309, 0.38305, 0.38304, 0.38303, 0.383, 0.38299, 0.38298, 0.38296, 0.38295, 0.3829, 0.38285, 0.38284, 0.38283], 'bid_size': [1000.0, 1304.5, 1000.0, 1958.78899816, 1000.0, 1596.0, 1000.0, 3909.9727978, 6813.69585748, 2609.9, 3915.2, 9142.10683798, 10396.92537432, 6612.0, 11627.55424301, 1314.20983337, 1890.39044428, 2262.75202909, 13683.85338673, 2613.0, 16469.0, 15639.89119121, 9300.4187, 9803.0, 1330.39275485], 'spread': [0.00016, 0.00019, 0.00021, 0.00024, 0.00028, 0.0003, 0.00034, 0.00037, 0.00045, 0.00047, 0.00051, 0.00054, 0.00064, 0.00073, 0.00076, 0.00078, 0.00082, 0.00086, 0.00088, 0.00092, 0.00106, 0.00112, 0.0012, 0.00126, 0.00132], 'closing_price': 0.14233, 'mid_price': 0.38339, 'vwap': 0.383487, 'levels': 25}"
