,exchange,datetime,orderbook
0,bitfinex,2023-04-24T22:31:28.293Z,"{'ask_size': [0.207516, 0.0878, 0.1275, 0.1291137, 0.2305, 0.28206823, 0.3938, 0.45366427, 0.00930347, 1.1333, 0.87477929, 1.75001478, 0.571131, 1.41601176, 0.10507867, 0.30560378, 0.5833, 0.61004854, 0.35300898, 0.86, 0.57052726, 1.70304773, 2.20753743, 0.68832559, 1.59262741], 'ask': [27449.0, 27451.0, 27453.0, 27455.0, 27456.0, 27458.0, 27459.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27471.0, 27472.0, 27473.0, 27474.0, 27475.0, 27476.0, 27477.0, 27478.0, 27479.0, 27480.0], 'bid': [27446.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0, 27421.0, 27419.0, 27418.0], 'bid_size': [0.210378, 0.206, 0.23581822, 0.40113816, 0.83120346, 0.87072221, 0.49813201, 0.12841098, 0.16798328, 0.69827518, 0.34336515, 0.21781301, 1.5165844, 0.861, 0.001, 1.48311104, 0.001, 0.74824795, 0.001, 0.5826, 1.94702281, 1.631, 2.3019797, 0.001, 0.85092704], 'spread': [3.0, 7.0, 10.0, 13.0, 15.0, 18.0, 20.0, 24.0, 26.0, 28.0, 32.0, 34.0, 36.0, 38.0, 40.0, 43.0, 45.0, 47.0, 49.0, 51.0, 53.0, 55.0, 57.0, 60.0, 62.0], 'closing_price': 3870.1, 'mid_price': 27447.5, 'vwap': 27450.16194, 'levels': 25}"
1,bitfinex,2023-04-24T22:31:29.874Z,"{'ask_size': [0.207516, 0.0878, 0.1275, 0.1291137, 0.2305, 0.28206823, 0.3938, 0.45366427, 0.00930347, 1.1333, 0.87477929, 1.75001478, 0.571131, 1.41601176, 0.10507867, 0.30560378, 0.5833, 0.61004854, 0.35300898, 0.86, 0.57052726, 1.70304773, 2.20753743, 0.68832559, 1.59262741], 'ask': [27449.0, 27451.0, 27453.0, 27455.0, 27456.0, 27458.0, 27459.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27471.0, 27472.0, 27473.0, 27474.0, 27475.0, 27476.0, 27477.0, 27478.0, 27479.0, 27480.0], 'bid': [27446.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0, 27421.0, 27419.0, 27418.0], 'bid_size': [0.210378, 0.206, 0.23581822, 0.40113816, 0.83120346, 0.87072221, 0.49813201, 0.12841098, 0.16798328, 0.69827518, 0.34336515, 0.21781301, 1.5165844, 0.861, 0.001, 1.48311104, 0.001, 0.74824795, 0.001, 0.5826, 1.94702281, 1.631, 2.3019797, 0.001, 0.85092704], 'spread': [3.0, 7.0, 10.0, 13.0, 15.0, 18.0, 20.0, 24.0, 26.0, 28.0, 32.0, 34.0, 36.0, 38.0, 40.0, 43.0, 45.0, 47.0, 49.0, 51.0, 53.0, 55.0, 57.0, 60.0, 62.0], 'closing_price': 3870.1, 'mid_price': 27447.5, 'vwap': 27450.16194, 'levels': 25}"
2,bitfinex,2023-04-24T22:31:31.858Z,"{'ask_size': [0.02, 0.00197795, 0.22751, 0.215, 0.3986, 0.23782319, 0.254957, 0.56635404, 0.509859, 0.89875227, 1.32930347, 0.45930036, 0.2179123, 0.27568494, 0.35658342, 1.5048, 1.94352753, 1.57947078, 0.00033, 0.58445294, 0.38125356, 0.00903263, 3.20527584, 0.001, 2.14432741], 'ask': [27447.0, 27449.0, 27451.0, 27453.0, 27454.0, 27456.0, 27457.0, 27458.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27476.0, 27478.0, 27479.0], 'bid': [27446.0, 27445.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0, 27421.0, 27420.0, 27419.0], 'bid_size': [0.072849, 0.127532, 0.19667722, 0.25748366, 0.32551869, 0.44280781, 0.56388966, 0.64890667, 0.05516352, 1.23076213, 0.255175, 0.54176515, 0.5131158, 0.861, 0.4313874, 0.02001489, 0.51444598, 0.1163, 1.26109692, 2.51857463, 0.13156177, 2.31792589, 1.350355, 0.3044544, 2.23104822], 'spread': [1.0, 4.0, 9.0, 12.0, 14.0, 17.0, 19.0, 21.0, 24.0, 27.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 55.0, 58.0, 60.0], 'closing_price': 3870.1, 'mid_price': 27446.5, 'vwap': 27448.006608, 'levels': 25}"
3,bitfinex,2023-04-24T22:31:33.409Z,"{'ask_size': [0.02, 0.00197795, 0.22751, 0.215, 0.3986, 0.23782319, 0.254957, 0.56635404, 0.509859, 0.89875227, 1.32930347, 0.45930036, 0.2179123, 0.27568494, 0.35658342, 1.5048, 1.94352753, 1.57947078, 0.00033, 0.58445294, 0.38125356, 0.00903263, 3.20527584, 0.001, 2.14432741], 'ask': [27447.0, 27449.0, 27451.0, 27453.0, 27454.0, 27456.0, 27457.0, 27458.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27476.0, 27478.0, 27479.0], 'bid': [27446.0, 27445.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0, 27421.0, 27420.0, 27419.0], 'bid_size': [0.072849, 0.127532, 0.19667722, 0.25748366, 0.32551869, 0.44280781, 0.56388966, 0.64890667, 0.05516352, 1.23076213, 0.255175, 0.54176515, 0.5131158, 0.861, 0.4313874, 0.02001489, 0.51444598, 0.1163, 1.26109692, 2.51857463, 0.13156177, 2.31792589, 1.350355, 0.3044544, 2.23104822], 'spread': [1.0, 4.0, 9.0, 12.0, 14.0, 17.0, 19.0, 21.0, 24.0, 27.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 55.0, 58.0, 60.0], 'closing_price': 3870.1, 'mid_price': 27446.5, 'vwap': 27448.006608, 'levels': 25}"
4,bitfinex,2023-04-24T22:31:34.960Z,"{'ask_size': [0.02, 0.00197795, 0.22751, 0.215, 0.3986, 0.23782319, 0.254957, 0.56635404, 0.509859, 0.89875227, 1.32930347, 0.45930036, 0.2179123, 0.27568494, 0.35658342, 1.5048, 1.94352753, 1.57947078, 0.00033, 0.58445294, 0.38125356, 0.00903263, 3.20527584, 0.001, 2.14432741], 'ask': [27447.0, 27449.0, 27451.0, 27453.0, 27454.0, 27456.0, 27457.0, 27458.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27476.0, 27478.0, 27479.0], 'bid': [27446.0, 27445.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0, 27421.0, 27420.0, 27419.0], 'bid_size': [0.072849, 0.127532, 0.19667722, 0.25748366, 0.32551869, 0.44280781, 0.56388966, 0.64890667, 0.05516352, 1.23076213, 0.255175, 0.54176515, 0.5131158, 0.861, 0.4313874, 0.02001489, 0.51444598, 0.1163, 1.26109692, 2.51857463, 0.13156177, 2.31792589, 1.350355, 0.3044544, 2.23104822], 'spread': [1.0, 4.0, 9.0, 12.0, 14.0, 17.0, 19.0, 21.0, 24.0, 27.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 55.0, 58.0, 60.0], 'closing_price': 3870.1, 'mid_price': 27446.5, 'vwap': 27448.006608, 'levels': 25}"
5,bitfinex,2023-04-24T22:31:36.719Z,"{'ask_size': [0.147499, 0.05, 0.12929391, 0.78153104, 0.01824019, 0.3827, 1.02620927, 0.00930347, 0.0884, 2.22217511, 1.53210248, 0.47761583, 1.72600476, 0.62, 1.36927567, 0.30560378, 0.5833, 0.03727721, 0.44130898, 1.93993129, 0.57052726, 0.42915114, 0.001, 3.83753743, 1.94035055], 'ask': [27453.0, 27455.0, 27456.0, 27458.0, 27459.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27475.0, 27476.0, 27477.0, 27478.0, 27479.0, 27480.0], 'bid': [27449.0, 27448.0, 27446.0, 27445.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0], 'bid_size': [0.127513, 0.0884, 0.127529, 0.127532, 0.35080988, 0.28108823, 0.56585146, 0.51242221, 0.58658731, 0.5419922, 0.1078, 0.53477885, 0.05516352, 1.38368615, 1.1237874, 0.001, 0.861, 0.51444598, 1.29612589, 0.59647795, 0.1163, 1.26109692, 1.27052589, 0.13156177, 2.40047697], 'spread': [4.0, 7.0, 10.0, 13.0, 15.0, 17.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 54.0, 56.0, 58.0], 'closing_price': 3870.1, 'mid_price': 27451.0, 'vwap': 27454.261624, 'levels': 25}"
6,bitfinex,2023-04-24T22:31:38.185Z,"{'ask_size': [0.147499, 0.05, 0.12929391, 0.78153104, 0.01824019, 0.3827, 1.02620927, 0.00930347, 0.0884, 2.22217511, 1.53210248, 0.47761583, 1.72600476, 0.62, 1.36927567, 0.30560378, 0.5833, 0.03727721, 0.44130898, 1.93993129, 0.57052726, 0.42915114, 0.001, 3.83753743, 1.94035055], 'ask': [27453.0, 27455.0, 27456.0, 27458.0, 27459.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27475.0, 27476.0, 27477.0, 27478.0, 27479.0, 27480.0], 'bid': [27449.0, 27448.0, 27446.0, 27445.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0], 'bid_size': [0.127513, 0.0884, 0.127529, 0.127532, 0.35080988, 0.28108823, 0.56585146, 0.51242221, 0.58658731, 0.5419922, 0.1078, 0.53477885, 0.05516352, 1.38368615, 1.1237874, 0.001, 0.861, 0.51444598, 1.29612589, 0.59647795, 0.1163, 1.26109692, 1.27052589, 0.13156177, 2.40047697], 'spread': [4.0, 7.0, 10.0, 13.0, 15.0, 17.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 54.0, 56.0, 58.0], 'closing_price': 3870.1, 'mid_price': 27451.0, 'vwap': 27454.261624, 'levels': 25}"
7,bitfinex,2023-04-24T22:31:39.874Z,"{'ask_size': [0.147499, 0.05, 0.12929391, 0.78153104, 0.01824019, 0.3827, 1.02620927, 0.00930347, 0.0884, 2.22217511, 1.53210248, 0.47761583, 1.72600476, 0.62, 1.36927567, 0.30560378, 0.5833, 0.03727721, 0.44130898, 1.93993129, 0.57052726, 0.42915114, 0.001, 3.83753743, 1.94035055], 'ask': [27453.0, 27455.0, 27456.0, 27458.0, 27459.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27475.0, 27476.0, 27477.0, 27478.0, 27479.0, 27480.0], 'bid': [27449.0, 27448.0, 27446.0, 27445.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0, 27423.0, 27422.0], 'bid_size': [0.127513, 0.0884, 0.127529, 0.127532, 0.35080988, 0.28108823, 0.56585146, 0.51242221, 0.58658731, 0.5419922, 0.1078, 0.53477885, 0.05516352, 1.38368615, 1.1237874, 0.001, 0.861, 0.51444598, 1.29612589, 0.59647795, 0.1163, 1.26109692, 1.27052589, 0.13156177, 2.40047697], 'spread': [4.0, 7.0, 10.0, 13.0, 15.0, 17.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 38.0, 40.0, 42.0, 44.0, 46.0, 48.0, 50.0, 52.0, 54.0, 56.0, 58.0], 'closing_price': 3870.1, 'mid_price': 27451.0, 'vwap': 27454.261624, 'levels': 25}"
8,bitfinex,2023-04-24T22:31:41.519Z,"{'ask_size': [0.147499, 0.127492, 0.15, 0.127483, 0.65405404, 0.01824019, 0.510168, 0.89875227, 0.00930347, 2.0557613, 0.45100507, 1.55389371, 0.52119829, 1.46451, 0.62, 1.67454945, 0.00033, 0.5833, 0.38125356, 0.09733263, 0.99873841, 0.001, 4.35086484, 1.27072559, 0.57277133], 'ask': [27453.0, 27454.0, 27455.0, 27456.0, 27458.0, 27459.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27476.0, 27478.0, 27479.0, 27480.0, 27481.0], 'bid': [27449.0, 27448.0, 27447.0, 27445.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27434.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0], 'bid_size': [0.12671077, 0.0884, 0.127523, 0.23580922, 0.39439989, 0.30119246, 0.80630221, 0.59645201, 0.0884, 0.5419922, 0.41048886, 0.23208999, 0.05516352, 1.38368615, 0.02, 0.4303874, 0.6934, 0.001, 1.37444598, 0.001, 1.89160384, 0.001, 0.1163, 1.94802281, 0.5836], 'spread': [4.0, 6.0, 8.0, 11.0, 14.0, 16.0, 18.0, 21.0, 23.0, 25.0, 27.0, 29.0, 31.0, 33.0, 35.0, 37.0, 39.0, 41.0, 43.0, 45.0, 48.0, 51.0, 53.0, 55.0, 57.0], 'closing_price': 3870.1, 'mid_price': 27451.0, 'vwap': 27455.880139, 'levels': 25}"
9,bitfinex,2023-04-24T22:31:43.042Z,"{'ask_size': [0.147499, 0.127492, 0.15, 0.127483, 0.65405404, 0.01824019, 0.510168, 0.89875227, 0.00930347, 2.0557613, 0.45100507, 1.55389371, 0.52119829, 1.46451, 0.62, 1.67454945, 0.00033, 0.5833, 0.38125356, 0.09733263, 0.99873841, 0.001, 4.35086484, 1.27072559, 0.57277133], 'ask': [27453.0, 27454.0, 27455.0, 27456.0, 27458.0, 27459.0, 27460.0, 27462.0, 27463.0, 27464.0, 27465.0, 27466.0, 27467.0, 27468.0, 27469.0, 27470.0, 27471.0, 27472.0, 27473.0, 27474.0, 27476.0, 27478.0, 27479.0, 27480.0, 27481.0], 'bid': [27449.0, 27448.0, 27447.0, 27445.0, 27444.0, 27443.0, 27442.0, 27441.0, 27440.0, 27439.0, 27438.0, 27437.0, 27436.0, 27435.0, 27434.0, 27433.0, 27432.0, 27431.0, 27430.0, 27429.0, 27428.0, 27427.0, 27426.0, 27425.0, 27424.0], 'bid_size': [0.12671077, 0.0884, 0.127523, 0.23580922, 0.39439989, 0.30119246, 0.80630221, 0.59645201, 0.0884, 0.5419922, 0.41048886, 0.23208999, 0.05516352, 1.38368615, 0.02, 0.4303874, 0.6934, 0.001, 1.37444598, 0.001, 1.89160384, 0.001, 0.1163, 1.94802281, 0.5836], 'spread': [4.0, 6.0, 8.0, 11.0, 14.0, 16.0, 18.0, 21.0, 23.0, 25.0, 27.0, 29.0, 31.0, 33.0, 35.0, 37.0, 39.0, 41.0, 43.0, 45.0, 48.0, 51.0, 53.0, 55.0, 57.0], 'closing_price': 3870.1, 'mid_price': 27451.0, 'vwap': 27455.880139, 'levels': 25}"
