,exchange,datetime,orderbook
0,bitfinex,2023-04-24T23:39:32.853Z,"{'ask_size': [3.79657, 0.0174057, 5.29616, 3.398, 0.883, 1.89777, 0.27187345, 2.68388124, 20.6178317, 3.85488882, 7.61385626, 1.1541, 12.01843551, 21.26132395, 7.82456294, 23.4, 1.70444344, 2.45507298, 1.99500109, 14.12241516, 45.98487578, 7.7, 2.28076559, 2.56720903, 10.93122809], 'ask': [1843.7, 1843.8, 1843.9, 1844.0, 1844.1, 1844.2, 1844.3, 1844.4, 1844.5, 1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.4, 1845.5, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.6], 'bid': [1843.6, 1843.5, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.9, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.1, 1842.0, 1841.8, 1841.7, 1841.5, 1841.3, 1841.2, 1841.0, 1840.6, 1840.3, 1840.2], 'bid_size': [0.56712836, 3.83153265, 12.74963089, 2.01516882, 3.13745, 2.935008, 1.74277917, 8.79807, 2.61592999, 28.0044868, 0.874, 1.6250248, 1.70511877, 0.5764379, 0.43, 2.27656521, 6.02742136, 2.27319286, 9.09900052, 2.55756572, 1.35872036, 2.83626883, 3.10835619, 0.04498421, 4.83514488], 'spread': [0.1, 0.3, 0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5, 2.7, 3.0, 3.2, 3.6, 3.8, 4.2, 4.5, 4.7, 5.0, 5.5, 6.1, 6.4], 'closing_price': 133.5, 'mid_price': 1843.65, 'vwap': 1844.3047, 'levels': 25}"
1,bitfinex,2023-04-24T23:39:34.467Z,"{'ask_size': [3.79657, 0.0174057, 5.29616, 3.398, 0.883, 1.89777, 0.27187345, 2.68388124, 20.6178317, 3.85488882, 7.61385626, 1.1541, 12.01843551, 21.26132395, 7.82456294, 23.4, 1.70444344, 2.45507298, 1.99500109, 14.12241516, 45.98487578, 7.7, 2.28076559, 2.56720903, 10.93122809], 'ask': [1843.7, 1843.8, 1843.9, 1844.0, 1844.1, 1844.2, 1844.3, 1844.4, 1844.5, 1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.4, 1845.5, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.6], 'bid': [1843.6, 1843.5, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.9, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.1, 1842.0, 1841.8, 1841.7, 1841.5, 1841.3, 1841.2, 1841.0, 1840.6, 1840.3, 1840.2], 'bid_size': [0.56712836, 3.83153265, 12.74963089, 2.01516882, 3.13745, 2.935008, 1.74277917, 8.79807, 2.61592999, 28.0044868, 0.874, 1.6250248, 1.70511877, 0.5764379, 0.43, 2.27656521, 6.02742136, 2.27319286, 9.09900052, 2.55756572, 1.35872036, 2.83626883, 3.10835619, 0.04498421, 4.83514488], 'spread': [0.1, 0.3, 0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5, 2.7, 3.0, 3.2, 3.6, 3.8, 4.2, 4.5, 4.7, 5.0, 5.5, 6.1, 6.4], 'closing_price': 133.5, 'mid_price': 1843.65, 'vwap': 1844.3047, 'levels': 25}"
2,bitfinex,2023-04-24T23:39:36.299Z,"{'ask_size': [3.7964, 5.29616, 4.278, 3.89207, 0.27187345, 2.68388124, 20.6178317, 2.04798882, 7.58918, 1.1541, 10.93376898, 21.26132395, 7.82456294, 23.4, 1.70444344, 2.45507298, 11.5356959, 1.99500109, 2.58356, 43.8, 9.89914773, 2.28076559, 2.56720903, 10.93122809, 59.2], 'ask': [1843.8, 1843.9, 1844.0, 1844.2, 1844.3, 1844.4, 1844.5, 1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.6, 1846.7], 'bid': [1843.6, 1843.5, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.9, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.1, 1842.0, 1841.8, 1841.7, 1841.5, 1841.4, 1841.3, 1841.2, 1840.9, 1840.6, 1840.3], 'bid_size': [4.35762837, 3.79684, 12.74963089, 1.13216882, 4.01245, 1.8502, 1.74277917, 8.79807, 2.61592999, 28.0044868, 0.874, 1.6250248, 1.70511877, 0.5764379, 0.71310844, 1.99345289, 6.02742136, 2.27319286, 6.3, 2.75050026, 2.55756572, 1.35872036, 2.83626883, 3.10835619, 0.04498421], 'spread': [0.2, 0.4, 0.6, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5, 2.7, 2.9, 3.3, 3.5, 3.8, 4.0, 4.3, 4.5, 4.7, 4.9, 5.5, 6.0, 6.4], 'closing_price': 133.5, 'mid_price': 1843.7, 'vwap': 1844.730668, 'levels': 25}"
3,bitfinex,2023-04-24T23:39:37.949Z,"{'ask_size': [3.7964, 5.29616, 4.278, 3.89207, 0.27187345, 2.68388124, 20.6178317, 2.04798882, 7.58918, 1.1541, 10.93376898, 21.26132395, 7.82456294, 23.4, 1.70444344, 2.45507298, 11.5356959, 1.99500109, 2.58356, 43.8, 9.89914773, 2.28076559, 2.56720903, 10.93122809, 59.2], 'ask': [1843.8, 1843.9, 1844.0, 1844.2, 1844.3, 1844.4, 1844.5, 1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.6, 1846.7], 'bid': [1843.6, 1843.5, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.9, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.1, 1842.0, 1841.8, 1841.7, 1841.5, 1841.4, 1841.3, 1841.2, 1840.9, 1840.6, 1840.3], 'bid_size': [4.35762837, 3.79684, 12.74963089, 1.13216882, 4.01245, 1.8502, 1.74277917, 8.79807, 2.61592999, 28.0044868, 0.874, 1.6250248, 1.70511877, 0.5764379, 0.71310844, 1.99345289, 6.02742136, 2.27319286, 6.3, 2.75050026, 2.55756572, 1.35872036, 2.83626883, 3.10835619, 0.04498421], 'spread': [0.2, 0.4, 0.6, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5, 2.7, 2.9, 3.3, 3.5, 3.8, 4.0, 4.3, 4.5, 4.7, 4.9, 5.5, 6.0, 6.4], 'closing_price': 133.5, 'mid_price': 1843.7, 'vwap': 1844.730668, 'levels': 25}"
4,bitfinex,2023-04-24T23:39:39.475Z,"{'ask_size': [3.7964, 5.29616, 4.278, 3.89207, 0.27187345, 2.68388124, 20.6178317, 2.04798882, 7.58918, 1.1541, 10.93376898, 21.26132395, 7.82456294, 23.4, 1.70444344, 2.45507298, 11.5356959, 1.99500109, 2.58356, 43.8, 9.89914773, 2.28076559, 2.56720903, 10.93122809, 59.2], 'ask': [1843.8, 1843.9, 1844.0, 1844.2, 1844.3, 1844.4, 1844.5, 1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.6, 1846.7], 'bid': [1843.6, 1843.5, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.9, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.1, 1842.0, 1841.8, 1841.7, 1841.5, 1841.4, 1841.3, 1841.2, 1840.9, 1840.6, 1840.3], 'bid_size': [4.35762837, 3.79684, 12.74963089, 1.13216882, 4.01245, 1.8502, 1.74277917, 8.79807, 2.61592999, 28.0044868, 0.874, 1.6250248, 1.70511877, 0.5764379, 0.71310844, 1.99345289, 6.02742136, 2.27319286, 6.3, 2.75050026, 2.55756572, 1.35872036, 2.83626883, 3.10835619, 0.04498421], 'spread': [0.2, 0.4, 0.6, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5, 2.7, 2.9, 3.3, 3.5, 3.8, 4.0, 4.3, 4.5, 4.7, 4.9, 5.5, 6.0, 6.4], 'closing_price': 133.5, 'mid_price': 1843.7, 'vwap': 1844.730668, 'levels': 25}"
5,bitfinex,2023-04-24T23:39:41.495Z,"{'ask_size': [0.01909068, 3.79452, 2.17195053, 4.879011, 3.09357, 15.76548944, 3.13718, 0.27187345, 3.79309, 13.46836, 0.28302131, 2.24754344, 10.93213626, 27.97092298, 1.99500109, 1.5, 2.28076559, 1.083, 2.18886348, 3.38282939, 3.5, 2.85348329, 3.1357737, 22.46692399, 146.6], 'ask': [1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.3, 1845.4, 1845.6, 1845.7, 1845.9, 1846.0, 1846.1, 1846.2, 1846.4, 1846.6, 1846.8, 1846.9, 1847.0, 1847.2, 1847.3, 1847.7, 1848.5, 1848.6], 'bid': [1844.3, 1844.2, 1844.0, 1843.9, 1843.8, 1843.7, 1843.6, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.2, 1842.1, 1841.8, 1841.7, 1841.4, 1841.3, 1841.2], 'bid_size': [5.29519, 3.79553, 12.376, 2.76317089, 1.1471, 4.894836, 5.03491, 9.27962814, 5.0, 2.2898668, 14.7, 3.33853239, 1.70511877, 18.99266, 25.31197298, 3.61847769, 3.02957838, 0.5764379, 8.04621571, 2.5563013, 3.64343572, 7.2, 2.83626883, 43.8, 1.35872036], 'spread': [0.3, 0.5, 0.8, 1.0, 1.2, 1.4, 1.6, 1.9, 2.1, 2.4, 2.6, 2.9, 3.2, 3.4, 3.6, 3.9, 4.2, 4.5, 4.7, 4.9, 5.4, 5.6, 6.3, 7.2, 7.4], 'closing_price': 133.5, 'mid_price': 1844.45, 'vwap': 1845.495149, 'levels': 25}"
6,bitfinex,2023-04-24T23:39:43.068Z,"{'ask_size': [0.01909068, 3.79452, 2.17195053, 4.879011, 3.09357, 15.76548944, 3.13718, 0.27187345, 3.79309, 13.46836, 0.28302131, 2.24754344, 10.93213626, 27.97092298, 1.99500109, 1.5, 2.28076559, 1.083, 2.18886348, 3.38282939, 3.5, 2.85348329, 3.1357737, 22.46692399, 146.6], 'ask': [1844.6, 1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.3, 1845.4, 1845.6, 1845.7, 1845.9, 1846.0, 1846.1, 1846.2, 1846.4, 1846.6, 1846.8, 1846.9, 1847.0, 1847.2, 1847.3, 1847.7, 1848.5, 1848.6], 'bid': [1844.3, 1844.2, 1844.0, 1843.9, 1843.8, 1843.7, 1843.6, 1843.4, 1843.3, 1843.2, 1843.1, 1843.0, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.2, 1842.1, 1841.8, 1841.7, 1841.4, 1841.3, 1841.2], 'bid_size': [5.29519, 3.79553, 12.376, 2.76317089, 1.1471, 4.894836, 5.03491, 9.27962814, 5.0, 2.2898668, 14.7, 3.33853239, 1.70511877, 18.99266, 25.31197298, 3.61847769, 3.02957838, 0.5764379, 8.04621571, 2.5563013, 3.64343572, 7.2, 2.83626883, 43.8, 1.35872036], 'spread': [0.3, 0.5, 0.8, 1.0, 1.2, 1.4, 1.6, 1.9, 2.1, 2.4, 2.6, 2.9, 3.2, 3.4, 3.6, 3.9, 4.2, 4.5, 4.7, 4.9, 5.4, 5.6, 6.3, 7.2, 7.4], 'closing_price': 133.5, 'mid_price': 1844.45, 'vwap': 1845.495149, 'levels': 25}"
7,bitfinex,2023-04-24T23:39:45.004Z,"{'ask_size': [0.02000633, 0.33785053, 5.29429, 0.875, 11.40467725, 3.13718, 8.46952661, 5.75807882, 0.48581077, 8.46836, 0.28302131, 5.0, 1.95810378, 10.93213626, 29.67536642, 3.49500109, 3.36376559, 2.18886348, 0.81562036, 2.56720903, 3.5, 2.85348329, 3.1357737, 22.46692399, 146.6], 'ask': [1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.3, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.8, 1846.9, 1847.0, 1847.1, 1847.2, 1847.5, 1847.8, 1848.5, 1848.6], 'bid': [1844.4, 1844.3, 1844.2, 1844.0, 1843.9, 1843.8, 1843.7, 1843.6, 1843.4, 1843.3, 1843.2, 1843.0, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.2, 1842.1, 1841.8, 1841.7, 1841.4, 1841.2, 1841.1], 'bid_size': [1.1919, 5.29519, 2.116, 12.6714, 3.2026879, 0.877, 2.996596, 3.79671, 8.12822814, 5.0, 2.2898668, 2.25364439, 4.34273291, 18.99266, 1.91197298, 4.70391769, 3.02957838, 3.29434308, 0.43, 17.2563013, 9.17473076, 7.2, 2.83626883, 1.35872036, 5.66552559], 'spread': [0.3, 0.5, 0.7, 1.0, 1.2, 1.4, 1.6, 1.8, 2.1, 2.3, 2.5, 2.8, 3.1, 3.3, 3.5, 3.9, 4.4, 4.6, 4.8, 5.0, 5.4, 5.8, 6.4, 7.3, 7.5], 'closing_price': 133.5, 'mid_price': 1844.55, 'vwap': 1846.021796, 'levels': 25}"
8,bitfinex,2023-04-24T23:39:46.501Z,"{'ask_size': [0.02000633, 0.33785053, 5.29429, 0.875, 11.40467725, 3.13718, 8.46952661, 5.75807882, 0.48581077, 8.46836, 0.28302131, 5.0, 1.95810378, 10.93213626, 29.67536642, 3.49500109, 3.36376559, 2.18886348, 0.81562036, 2.56720903, 3.5, 2.85348329, 3.1357737, 22.46692399, 146.6], 'ask': [1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.3, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.8, 1846.9, 1847.0, 1847.1, 1847.2, 1847.5, 1847.8, 1848.5, 1848.6], 'bid': [1844.4, 1844.3, 1844.2, 1844.0, 1843.9, 1843.8, 1843.7, 1843.6, 1843.4, 1843.3, 1843.2, 1843.0, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.2, 1842.1, 1841.8, 1841.7, 1841.4, 1841.2, 1841.1], 'bid_size': [1.1919, 5.29519, 2.116, 12.6714, 3.2026879, 0.877, 2.996596, 3.79671, 8.12822814, 5.0, 2.2898668, 2.25364439, 4.34273291, 18.99266, 1.91197298, 4.70391769, 3.02957838, 3.29434308, 0.43, 17.2563013, 9.17473076, 7.2, 2.83626883, 1.35872036, 5.66552559], 'spread': [0.3, 0.5, 0.7, 1.0, 1.2, 1.4, 1.6, 1.8, 2.1, 2.3, 2.5, 2.8, 3.1, 3.3, 3.5, 3.9, 4.4, 4.6, 4.8, 5.0, 5.4, 5.8, 6.4, 7.3, 7.5], 'closing_price': 133.5, 'mid_price': 1844.55, 'vwap': 1846.021796, 'levels': 25}"
9,bitfinex,2023-04-24T23:39:48.004Z,"{'ask_size': [0.02000633, 0.33785053, 5.29429, 0.875, 11.40467725, 3.13718, 8.46952661, 5.75807882, 0.48581077, 8.46836, 0.28302131, 5.0, 1.95810378, 10.93213626, 29.67536642, 3.49500109, 3.36376559, 2.18886348, 0.81562036, 2.56720903, 3.5, 2.85348329, 3.1357737, 22.46692399, 146.6], 'ask': [1844.7, 1844.8, 1844.9, 1845.0, 1845.1, 1845.2, 1845.3, 1845.4, 1845.5, 1845.6, 1845.7, 1845.8, 1845.9, 1846.0, 1846.1, 1846.4, 1846.8, 1846.9, 1847.0, 1847.1, 1847.2, 1847.5, 1847.8, 1848.5, 1848.6], 'bid': [1844.4, 1844.3, 1844.2, 1844.0, 1843.9, 1843.8, 1843.7, 1843.6, 1843.4, 1843.3, 1843.2, 1843.0, 1842.8, 1842.7, 1842.6, 1842.5, 1842.4, 1842.3, 1842.2, 1842.1, 1841.8, 1841.7, 1841.4, 1841.2, 1841.1], 'bid_size': [1.1919, 5.29519, 2.116, 12.6714, 3.2026879, 0.877, 2.996596, 3.79671, 8.12822814, 5.0, 2.2898668, 2.25364439, 4.34273291, 18.99266, 1.91197298, 4.70391769, 3.02957838, 3.29434308, 0.43, 17.2563013, 9.17473076, 7.2, 2.83626883, 1.35872036, 5.66552559], 'spread': [0.3, 0.5, 0.7, 1.0, 1.2, 1.4, 1.6, 1.8, 2.1, 2.3, 2.5, 2.8, 3.1, 3.3, 3.5, 3.9, 4.4, 4.6, 4.8, 5.0, 5.4, 5.8, 6.4, 7.3, 7.5], 'closing_price': 133.5, 'mid_price': 1844.55, 'vwap': 1846.021796, 'levels': 25}"
